name,road_address,latitude,longitude,toilet_type,open_time_type
올림픽기념국민생활관,서울특별시 종로구 성균관로 91,37.59036,126.99885,개방화장실,정시
창덕공원,서울특별시 종로구 권농동 31,37.57799,126.99219,공중화장실,정시
쌈지길(지하1층),서울특별시 종로구 인사동길 44,37.57433,126.98521,개방화장실,정시
신영동 빗물저류조 내 공중화장실,서울특별시 종로구 신영동 123-1,37.60262,126.96194,공중화장실,상시
창신1동 주민센터,서울특별시 종로구 지봉로 8-6,37.57077,127.01632,개방화장실,정시
흥사단,서울특별시 종로구 대학로 122,37.58391,127.00305,개방화장실,정시
북촌단청공방,서울특별시 종로구 창덕궁5길 4,37.58304,126.98933,개방화장실,정시
광장시장 나들이 쉼터,서울특별시 종로구 종로32길 19,37.57016,127.00126,공중화장실,정시
서울자유시민대학 화장실,서울특별시 종로구 송월길 52,37.57137,126.96591,개방화장실,정시
유림회관(성균관),서울특별시 종로구 성균관로 31,37.5858,126.99574,개방화장실,정시
색실문양누비공방,서울특별시 종로구 북촌로12길 17,37.58241,126.98586,개방화장실,정시
무악동배드민턴장 공중화장실,서울특별시 종로구 통일로18가길 46,37.57795,126.95691,공중화장실,상시
와룡공원(관리실옆),서울특별시 종로구 혜화동 산2-13,37.58692,127.00504,공중화장실,상시
북촌마을안내소공중화장실,서울특별시 종로구 북촌로5길 48,37.58078,126.98305,공중화장실,정시
창이놀이터,서울특별시 종로구 창신동 622-12,37.57884,127.00855,공중화장실,정시
부암동 주민센터화장실,서울특별시 종로구 창의문로 145,37.59257,126.96416,개방화장실,정시
토포하우스,서울특별시 종로구 인사동11길 6,37.57405,126.98432,개방화장실,정시
인사동홍보관,서울특별시 종로구 인사동11길 19,37.57364,126.98358,개방화장실,정시
동묘시장공중화장실,서울특별시 종로구 종로58길 27,37.57243,127.01896,공중화장실,정시
서울대학교 외래암센터내,서울특별시 종로구 대학로 101,37.57884,127.00105,개방화장실,정시
북촌발효공방(빚담),서울특별시 종로구 가회동 11-39,37.58235,126.98551,개방화장실,정시
종묘광장,서울특별시 종로구 훈정동 2,37.5715,126.99505,공중화장실,상시
인왕산 청운지구(1)(서시정 화장실),서울특별시 종로구 청운동 7-2,37.5912,126.96619,공중화장실,상시
명륜와룡공영주차장,서울특별시 종로구 명륜길 26,37.58869,126.99554,개방화장실,정시
이화동한복(김영희 한복대여),서울특별시 종로구 율곡로19길 71-1,37.57726,127.00711,개방화장실,정시
종로4가,서울특별시 종로구 창경궁로 지하 81,37.57952,126.99935,개방화장실,정시
북악팔각정 공중화장실,서울특별시 종로구 북악산로 267,37.60154,126.98006,공중화장실,정시
"동대문 신발상가 A동  3층, 6층",서울특별시 종로구 청계천로 295,37.57077,127.01367,개방화장실,정시
창신역(6),서울특별시 종로구 창신동 20-8 창신역,37.579361,127.013092,공중화장실,정시
청운효자동주민센터,서울특별시 종로구 자하문로 92,37.58414,126.9706,개방화장실,정시
광장시장 동문 앞 공중화장실,서울특별시 종로구 동호로 401,37.5702,127.00167,공중화장실,상시
GS25 상명대점,서울특별시 종로구 홍지문2길 16,37.60169,126.95562,개방화장실,상시
계동교회,서울특별시 종로구 계동길 81,37.58101,126.98666,개방화장실,정시
종오지하상가 화장실,서울특별시 종로구 종로 지하 200,37.57264,127.00128,개방화장실,정시
신문로빌딩,서울특별시 종로구 새문안로 38,37.5694,126.96998,개방화장실,상시
